Label of tree,type,Twig a or b,Date,Live scale shoot 1,dead scale shoot 1,Live scale shoot 2,dead scale shoot 2,Live scale shoot 3,dead scale shoot 3,presence of parasitism,scale on new growth?,presence of fungus,encarsia,notes,
D-B1c,Crypto,a,July,0,1,0,0,0,0,no,no,no,,,
D-B1c,Crypto,b,July,0,0,0,0,0,0,no,no,no,,,
D-B1d,Crypto,a,July,0,0,0,0,1,0,no,no,no,,,
D-B1d,Crypto,b,July,0,3,0,3,0,1,no,no,no,,barely alive,
D-C1a,Crypto,a,July,0,0,0,0,0,1,no,no,no,2,,
D-C1a,Crypto,b,July,,,,,,,no,no,no,,,
D-C1b,Crypto,a,July,0,10,0,8,0,13,yes,no,no,1,,
D-C1b,Crypto,b,July,,,,,,,no,no,no,,,
D-C1c,Crypto,a,July,0,46,0,22,0,19,yes,no,no,,,
D-C1c,Crypto,b,July,,,,,,,no,no,no,,,
D-C1d,Crypto,a,July,0,17,0,6,0,7,yes,no,no,,,
D-C1d,Crypto,b,July,,,,,,,no,no,no,,,
D-D1a,Crypto,a,July,,,,,,,no,no,no,0,,
D-D1a,Crypto,b,July,,,,,,,no,no,no,,,
D-D1b,Crypto,a,July,,,,,,,no,no,no,0,,
D-D1b,Crypto,b,July,,,,,,,no,no,no,,,
D-D1c,Crypto,a,July,,,,,,,no,no,no,,,
D-D1c,Crypto,b,July,,,,,,,no,no,no,,,
D-D1d,Crypto,a,July,,,,,,,no,no,no,,,
D-D1d,Crypto,b,July,,,,,,,no,no,no,,,
D-A2a,Crypto,a,July,,,,,,,no,no,no,1,,
D-A2a,Crypto,b,July,,,,,,,no,no,no,,,
D-A2b,Crypto,a,July,,,,,,,no,no,no,1,,
D-A2b,Crypto,b,July,,,,,,,no,no,no,,,
D-A2c,Crypto,a,July,0,1,0,4,0,1,no,no,no,,,
D-A2c,Crypto,b,July,0,16,0,10,0,9,yes,no,no,,,
D-A2d,Crypto,a,July,,,,,,,no,no,no,,,
D-A2d,Crypto,b,July,,,,,,,no,no,no,,,
D-B2a,Crypto,a,July,0,22,0,20,0,18,yes,no,no,0,,
D-B2a,Crypto,b,July,0,0,0,1,0,1,no,no,no,,,
D-B2b,Crypto,a,July,1,5,1,4,0,0,no,no,no,1,,
D-B2b,Crypto,b,July,0,5,0,2,0,7,no,no,no,,,
D-B2c,Crypto,a,July,0,0,0,0,0,7,no,no,no,,,
D-B2c,Crypto,b,July,0,7,0,7,0,5,no,no,no,,,
D-B2d,Crypto,a,July,0,5,0,3,0,1,no,no,no,,,
D-B2d,Crypto,b,July,0,0,0,0,0,0,no,no,no,,,
D-C2a,Crypto,a,July,0,1,0,3,0,0,no,no,no,1,,
D-C2a,Crypto,b,July,0,1,0,0,0,0,no,no,no,,,
D-C2b,Crypto,a,July,0,0,0,2,0,0,no,no,no,0,,
D-C2b,Crypto,b,July,,,,,,,no,no,no,,,
D-C2c,Crypto,a,July,0,0,0,0,0,0,no,no,no,,,
D-C2c,Crypto,b,July,,,,,,,no,no,no,,,
D-C2d,Crypto,a,July,0,0,0,0,0,2,no,no,no,,,
D-C2d,Crypto,b,July,,,,,,,no,no,no,,,
D-D2a,Crypto,a,July,0,31,0,4,0,3,no,no,no,1,,
D-D2a,Crypto,b,July,,,,,,,no,no,no,,,
D-D2b,Crypto,a,July,0,5,0,2,0,5,no,no,no,0,,
D-D2b,Crypto,b,July,,,,,,,no,no,no,,,
D-D2c,Crypto,a,July,0,2,0,3,0,3,no,no,no,,,
D-D2c,Crypto,b,July,,,,,,,no,no,no,,,
D-D2d,Crypto,a,July,0,13,0,7,0,6,no,no,no,,,
D-D2d,Crypto,b,July,,,,,,,no,no,no,,,
D-A3a,Crypto,a,July,,,,,,,no,no,no,5,,
D-A3a,Crypto,b,July,,,,,,,no,no,no,,,
D-A3b,Crypto,a,July,,,,,,,no,no,no,3,,
D-A3b,Crypto,b,July,,,,,,,no,no,no,,,
D-A3c,Crypto,a,July,,,,,,,no,no,no,,,
D-A3c,Crypto,b,July,,,,,,,no,no,no,,,
